iter,bad_orientation,base_height,total_falls,rolling50_falls,mean_reward,mean_episode_length,terrain_levels
179,184.5833,0.1667,184.7500,193.8683,-0.6000,23.0300,0.0000
180,182.6667,0.0000,182.6667,193.0567,-0.3600,22.8500,0.0000
181,182.8333,0.0000,182.8333,192.3158,-0.4900,23.8400,0.0000
182,182.7500,0.0000,182.7500,191.6358,-0.4700,22.0500,0.0000
183,182.1250,0.0000,182.1250,190.9683,-0.4900,21.7200,0.0000
184,178.0833,0.0000,178.0833,190.3508,-0.5400,24.1100,0.0000
185,174.7500,0.0000,174.7500,189.6850,-0.5200,22.7200,0.0000
186,171.7500,0.0000,171.7500,188.9575,-0.5800,24.0200,0.0000
187,168.8750,0.0000,168.8750,188.2192,-0.4300,24.7200,0.0000
188,168.5417,0.0000,168.5417,187.6108,-0.6000,25.6800,0.0000
189,165.2500,0.2083,165.4583,186.9142,-0.5000,25.9400,0.0000
190,174.2083,0.0000,174.2083,186.3708,-0.4300,22.9800,0.0000
191,178.1667,0.0000,178.1667,185.9658,-0.4800,25.8600,0.0000
192,175.0417,0.0000,175.0417,185.4150,-0.4200,23.9500,0.0000
193,175.7500,0.0000,175.7500,184.8842,-0.3900,24.8700,0.0000
194,174.6250,0.0000,174.6250,184.3233,-0.5600,23.9400,0.0000
195,170.0000,0.0000,170.0000,183.7100,-0.6500,23.2400,0.0000
196,166.9167,0.0000,166.9167,182.9442,-0.3800,24.4500,0.0000
197,162.3750,0.0000,162.3750,182.3275,-0.6300,26.0000,0.0000
198,168.0417,0.0000,168.0417,181.7375,-0.5200,27.1100,0.0000
199,166.2083,0.0000,166.2083,181.1975,-0.5600,23.8300,0.0000
200,177.7500,0.0417,177.7917,180.8808,-0.3800,24.8000,0.0000
201,171.0833,0.0000,171.0833,180.3808,-0.5100,24.1400,0.0000
202,174.1250,0.0000,174.1250,180.0192,-0.4900,24.5800,0.0000
203,174.7500,0.0000,174.7500,179.7250,-0.6300,23.4600,0.0000
204,173.9167,0.0000,173.9167,179.3717,-0.4900,23.0000,0.0000
205,172.7500,0.0000,172.7500,178.8892,-0.2800,24.7700,0.0000
206,170.4167,0.0000,170.4167,178.4092,-0.5900,23.5000,0.0000
207,169.5833,0.0000,169.5833,178.0200,-0.5900,24.2700,0.0000
208,167.0000,0.0000,167.0000,177.5383,-0.4900,24.7200,0.0000
209,167.2083,0.0000,167.2083,177.1167,-0.5900,26.2100,0.0000
210,167.7917,0.2500,168.0417,176.7058,-0.4800,26.2300,0.0000
211,167.4583,0.1250,167.5833,176.2192,-0.5900,23.7600,0.0000
212,167.8750,0.0000,167.8750,175.8208,-0.5100,25.9000,0.0000
213,168.2083,0.0000,168.2083,175.4725,-0.5700,24.2900,0.0000
214,169.4583,0.0000,169.4583,175.0742,-0.4700,27.1500,0.0000
215,168.9583,0.0000,168.9583,174.7458,-0.4200,25.0400,0.0000
216,172.1250,0.0000,172.1250,174.5733,-0.3900,25.5100,0.0000
217,173.5000,0.0000,173.5000,174.5017,-0.3900,26.1500,0.0000
218,170.1250,0.0000,170.1250,174.4033,-0.6500,23.0700,0.0000
219,170.8333,0.0000,170.8333,174.2833,-0.5900,24.4900,0.0000
220,166.9583,0.0000,166.9583,174.0208,-0.3800,28.0000,0.0000
221,169.6667,0.2083,169.8750,173.8392,-0.5000,25.5200,0.0000
222,169.9583,0.0000,169.9583,173.6100,-0.4700,23.6000,0.0000
223,166.3750,0.0000,166.3750,173.3167,-0.5700,24.2500,0.0000
224,164.5833,0.0000,164.5833,172.8983,-0.6400,25.7300,0.0000
225,169.9167,0.0000,169.9167,172.5717,-0.3600,26.1500,0.0000
226,167.5833,0.0000,167.5833,172.2233,-0.5100,26.4000,0.0000
227,167.0000,0.0000,167.0000,171.8500,-0.5700,23.9900,0.0000
228,168.1667,0.0000,168.1667,171.5933,-0.4400,25.3100,0.0000
229,164.7083,0.0000,164.7083,171.1925,-0.4400,28.0300,0.0000
230,158.4167,0.0000,158.4167,170.7075,-0.5200,26.8800,0.0000
231,160.5000,0.2500,160.7500,170.2658,-0.4900,26.9900,0.0000
232,163.0417,0.0000,163.0417,169.8717,-0.5100,24.4300,0.0000
233,161.2083,0.0000,161.2083,169.4533,-0.5600,27.3800,0.0000
234,160.5833,0.0000,160.5833,169.1033,-0.5800,26.7100,0.0000
235,159.6250,0.0000,159.6250,168.8008,-0.4700,27.9800,0.0000
236,156.5000,0.0000,156.5000,168.4958,-0.4900,28.5700,0.0000
237,157.7500,0.0000,157.7500,168.2733,-0.6000,27.3200,0.0000
238,152.7083,0.0000,152.7083,167.9567,-0.3600,27.2900,0.0000
239,148.2500,0.0000,148.2500,167.6125,-0.5300,27.0500,0.0000
240,153.2500,0.0000,153.2500,167.1933,-0.6800,27.7100,0.0000
241,144.0000,0.0417,144.0417,166.5108,-0.7100,30.1500,0.0000
242,150.0000,0.4583,150.4583,166.0192,-0.6100,27.7500,0.0000
243,147.9167,0.0417,147.9584,165.4633,-0.4900,28.1900,0.0000
244,144.4583,0.0000,144.4583,164.8600,-0.4600,28.0400,0.0000
245,140.1250,0.0000,140.1250,164.2625,-0.6300,28.6900,0.0000
246,137.3333,0.0000,137.3333,163.6708,-0.5100,30.8100,0.0000
